periodo;vl_fob;kg_liquido;preco
2015/01/01;310162466;70905114;4,3743
2015/02/01;326977590;75849035;4,3109
2015/03/01;338989086;81967724;4,1356
2015/04/01;346099018;83132314;4,1632
2015/05/01;349032895;84827568;4,1146
2015/06/01;396543953;90101197;4,4011
2015/07/01;416505309;90548721;4,5998
2015/08/01;403256039;89185150;4,5216
2015/09/01;430157333;94615220;4,5464
2015/10/01;447973520;108142069;4,1425
2015/11/01;432370089;99058601;4,3648
2015/12/01;430047455;103279202;4,1639
2016/01/01;304766098;77962324;3,9091
2016/02/01;388012925;99177820;3,9123
2016/03/01;411216319;110730752;3,7137
2016/04/01;338997067;86541717;3,9172
2016/05/01;398133141;100957116;3,9436
2016/06/01;379576781;96604550;3,9292
2016/07/01;325359948;82185533;3,9588
2016/08/01;350518616;82400033;4,2539
2016/09/01;388824616;93037450;4,1792
2016/10/01;357426688;83371096;4,2872
2016/11/01;336070110;75813793;4,4328
2016/12/01;365912792;87259330;4,1934
2017/01/01;352155397;87068910;4,0446
2017/02/01;325225497;79088414;4,1122
2017/03/01;401861682;97825783;4,1079
2017/04/01;291948514;70041493;4,1682
2017/05/01;382462028;90298662;4,2355
2017/06/01;419579368;99612606;4,2121
2017/07/01;446221204;105214613;4,2411
2017/08/01;519487498;122789644;4,2307
2017/09/01;470883361;111802375;4,2117
2017/10/01;501026981;118607756;4,2242
2017/11/01;492185583;115447252;4,2633
2017/12/01;466853419;108569873;4,3000
2018/01/01;425517937;99449845;4,2787
2018/02/01;393633983;98396246;4,0005
2018/03/01;481270606;121322366;3,9669
2018/04/01;280557290;70092599;4,0027
2018/05/01;378866460;90545731;4,1843
2018/06/01;227925971;54510018;4,1814
2018/07/01;549312478;130887277;4,1968
2018/08/01;589830608;144588826;4,0794
2018/09/01;595768368;150639997;3,9549
2018/10/01;529294406;135941163;3,8936
2018/11/01;521055501;130466304;3,9938
2018/12/01;482756934;126700512;3,8102
2019/01/01;383981627;102428707;3,7488
2019/02/01;433044820;115431568;3,7515
2019/03/01;440827200;118522524;3,7194
2019/04/01;427056791;113001843;3,7792
2019/05/01;482405199;124352167;3,8793
2019/06/01;442114610;114512513;3,8608
2019/07/01;530584441;133192398;3,9836
2019/08/01;563907137;135100799;4,1740
2019/09/01;583681498;138286932;4,2208
2019/10/01;761884095;170552329;4,4672
2019/11/01;752588051;155536822;4,8386
2019/12/01;744306716;148767381;5,0032
2020/01/01;562383888;116954308;4,8086
2020/02/01;489658587;110579694;4,4281
2020/03/01;552998764;125882581;4,3930
2020/04/01;508449100;116295760;4,3720
2020/05/01;681146621;154973743;4,3952
2020/06/01;653033835;151925866;4,2984
2020/07/01;690895040;169274571;4,0815
2020/08/01;654098449;163220934;4,0074
2020/09/01;583051614;142351017;4,0959
2020/10/01;690444889;162684955;4,2441
2020/11/01;738492054;167736565;4,4027
2020/12/01;642233305;142524231;4,5061
2021/01/01;484132354;107327438;4,5108
2021/02/01;463474718;102103074;4,5393
2021/03/01;617223911;133821164;4,6123
2021/04/01;597990518;125474595;4,7658
2021/05/01;625395525;126763184;4,9336
2021/06/01;727018663;140315312;5,1813
2021/07/01;900831819;165515349;5,4426
2021/08/01;1031564006;181623465;5,6797
2021/09/01;1082417249;186998383;5,7884
2021/10/01;424631547;82187558;5,1666
2021/11/01;400343488;81174439;4,9319
2021/12/01;612379666;126895847;4,8258
2022/01/01;722548729;138061728;5,2335
2022/02/01;888122385;158506832;5,6031
2022/03/01;998592681;169133662;5,9042
2022/04/01;977022658;157360648;6,2088
2022/05/01;983290792;152355745;6,4539
2022/06/01;1040565303;152434905;6,8263
2022/07/01;1094773728;167142411;6,5499
2022/08/01;1245977695;203175488;6,1325
2022/09/01;1218097312;202986426;6,0009
2022/10/01;1101879307;188463534;5,8466
2022/11/01;777889846;148830763;5,2267
2022/12/01;756266265;152747809;4,9511
2023/01/01;775785841;160191236;4,8429
2023/02/01;613553098;126394772;4,8543
2023/03/01;598494747;124392215;4,8114
2023/04/01;525623788;110106258;4,7738
2023/05/01;858254564;168432996;5,0955
2023/06/01;973937065;192688370;5,0545
2023/07/01;762267461;160794888;4,7406
2023/08/01;835703819;185258884;4,5110
2023/09/01;884925708;195048261;4,5370
2023/10/01;855666412;186155033;4,5965
2023/11/01;863268595;187976780;4,5924
2023/12/01;947877714;208440172;4,5475
2024/01/01;821476367;181622656;4,5230
2024/02/01;808285348;178560779;4,5267
2024/03/01;753125118;166280225;4,5293
2024/04/01;941148668;207717213;4,5309
2024/05/01;954476021;211956714;4,5032
2024/06/01;859573585;192456580;4,4663
2024/07/01;1045913043;237220660;4,4090
2024/08/01;964290196;217409116;4,4354
2024/09/01;1135823209;251618678;4,5141
2024/10/01;1259866861;270259685;4,6617
2024/11/01;1111331127;228132425;4,8714
2024/12/01;1002973520;202524151;4,9524
2025/01/01;906714778;180300871;5,0289
2025/02/01;938485067;190430684;4,9282
2025/03/01;1054811118;215249406;4,9004
2025/04/01;1215001517;241485385;5,0314
2025/05/01;1134105925;218003274;5,2022
2025/06/01;1313314302;241046881;5,4484
2025/07/01;1536512490;276878997;5,5494
2025/08/01;1503368630;268424633;5,6007
2025/09/01;1767475049;314616736;5,6179
2025/10/01;1775323406;320533746;5,5386
2025/11/01;1754305600;318469481;5,5086
2025/12/01;1709043971;304853588;5,6061
