periodo;fluxo;vl_fob;quantum;preco
2015/01;Exportação;8851396632;1.0;1.0
2015/02;Exportação;8213557316;1.0;1.0
2015/03;Exportação;10751509784;1.0;1.0
2015/04;Exportação;8814082332;1.0;1.0
2015/05;Exportação;9723060935;1.0;1.0
2015/06;Exportação;11005826435;1.0;1.0
2015/07;Exportação;11249056496;1.0;1.0
2015/08;Exportação;9603999166;1.0;1.0
2015/09;Exportação;10034289096;1.0;1.0
2015/10;Exportação;10269642921;1.0;1.0
2015/11;Exportação;9338842635;1.0;1.0
2015/12;Exportação;10731706627;1.0;1.0
2016/01;Exportação;7493511988;1.0;1.0
2016/02;Exportação;9163686608;1.0;1.0
2016/03;Exportação;10091796136;1.0;1.0
2016/04;Exportação;8856391478;1.0;1.0
2016/05;Exportação;10105783712;1.0;1.0
2016/06;Exportação;10527323516;1.0;1.0
2016/07;Exportação;9800151969;1.0;1.0
2016/08;Exportação;11280871899;1.0;1.0
2016/09;Exportação;10665315141;1.0;1.0
2016/10;Exportação;9368558126;1.0;1.0
2016/11;Exportação;10067668501;1.0;1.0
2016/12;Exportação;11356483573;1.0;1.0
2017/01;Exportação;9560286718;1.0;1.0
2017/02;Exportação;9122717373;1.0;1.0
2017/03;Exportação;11363219827;1.0;1.0
2017/04;Exportação;9837731865;1.0;1.0
2017/05;Exportação;11635238234;1.0;1.0
2017/06;Exportação;11679157746;1.0;1.0
2017/07;Exportação;10954839789;1.0;1.0
2017/08;Exportação;12249412771;1.0;1.0
2017/09;Exportação;11730433971;1.0;1.0
2017/10;Exportação;12108314672;1.0;1.0
2017/11;Exportação;11239159730;1.0;1.0
2017/12;Exportação;11657491859;1.0;1.0
2018/01;Exportação;10574879097;1.0;1.0
2018/02;Exportação;10436200211;1.0;1.0
2018/03;Exportação;12006515284;1.0;1.0
2018/04;Exportação;10951153032;1.0;1.0
2018/05;Exportação;9845151000;1.0;1.0
2018/06;Exportação;11524674636;1.0;1.0
2018/07;Exportação;10482404214;1.0;1.0
2018/08;Exportação;11601417242;1.0;1.0
2018/09;Exportação;10893986704;1.0;1.0
2018/10;Exportação;12229670596;1.0;1.0
2018/11;Exportação;11138057758;1.0;1.0
2018/12;Exportação;11642434526;1.0;1.0
2019/01;Exportação;10201706805;1.0;1.0
2019/02;Exportação;9318355862;1.0;1.0
2019/03;Exportação;9738786968;1.0;1.0
2019/04;Exportação;10579691998;1.0;1.0
2019/05;Exportação;11714720329;1.0;1.0
2019/06;Exportação;10586337929;1.0;1.0
2019/07;Exportação;11185885979;1.0;1.0
2019/08;Exportação;10820123320;1.0;1.0
2019/09;Exportação;10425567796;1.0;1.0
2019/10;Exportação;10919344554;1.0;1.0
2019/11;Exportação;10444080306;1.0;1.0
2019/12;Exportação;10426842097;1.0;1.0
2020/01;Exportação;8788307012;1.0;1.0
2020/02;Exportação;8568358422;1.0;1.0
2020/03;Exportação;9978566852;1.0;1.0
2020/04;Exportação;8106039114;1.0;1.0
2020/05;Exportação;8927656230;1.0;1.0
2020/06;Exportação;9193286844;1.0;1.0
2020/07;Exportação;9923167151;1.0;1.0
2020/08;Exportação;9427156125;1.0;1.0
2020/09;Exportação;9706297961;1.0;1.0
2020/10;Exportação;10305439376;1.0;1.0
2020/11;Exportação;10122530668;1.0;1.0
2020/12;Exportação;11025797678;1.0;1.0
2021/01;Exportação;8507306171;1.0;1.0
2021/02;Exportação;9076085804;1.0;1.0
2021/03;Exportação;11192803586;1.0;1.0
2021/04;Exportação;11561631694;1.0;1.0
2021/05;Exportação;12352483501;1.0;1.0
2021/06;Exportação;12709977593;1.0;1.0
2021/07;Exportação;12951243525;1.0;1.0
2021/08;Exportação;13062624864;1.0;1.0
2021/09;Exportação;13190868633;1.0;1.0
2021/10;Exportação;12635768881;1.0;1.0
2021/11;Exportação;12384280047;1.0;1.0
2021/12;Exportação;14501702167;1.0;1.0
2022/01;Exportação;12108629578;1.0;1.0
2022/02;Exportação;12362571551;1.0;1.0
2022/03;Exportação;14448491223;1.0;1.0
2022/04;Exportação;14702209946;1.0;1.0
2022/05;Exportação;15338981386;1.0;1.0
2022/06;Exportação;17475622568;1.0;1.0
2022/07;Exportação;16421133831;1.0;1.0
2022/08;Exportação;16900164508;1.0;1.0
2022/09;Exportação;16039654527;1.0;1.0
2022/10;Exportação;15533997496;1.0;1.0
2022/11;Exportação;15457077516;1.0;1.0
2022/12;Exportação;14612662264;1.0;1.0
2023/01;Exportação;13809583044;1.0;1.0
2023/02;Exportação;12203977070;1.0;1.0
2023/03;Exportação;15193974344;1.0;1.0
2023/04;Exportação;12920099029;1.0;1.0
2023/05;Exportação;16488485595;1.0;1.0
2023/06;Exportação;15493758785;1.0;1.0
2023/07;Exportação;15112542046;1.0;1.0
2023/08;Exportação;16036579585;1.0;1.0
2023/09;Exportação;14218645206;1.0;1.0
2023/10;Exportação;15568032107;1.0;1.0
2023/11;Exportação;14238715330;1.0;1.0
2023/12;Exportação;15791534855;1.0;1.0
2024/01;Exportação;14169722085;1.0;1.0
2024/02;Exportação;12645688729;1.0;1.0
2024/03;Exportação;13918848508;1.0;1.0
2024/04;Exportação;14688541053;1.0;1.0
2024/05;Exportação;14816769628;1.0;1.0
2024/06;Exportação;14271229157;1.0;1.0
2024/07;Exportação;16365511800;1.0;1.0
2024/08;Exportação;15911000212;1.0;1.0
2024/09;Exportação;16515147154;1.0;1.0
2024/10;Exportação;17168010022;1.0;1.0
2024/11;Exportação;15601825514;1.0;1.0
2024/12;Exportação;15695584699;1.0;1.0
2025/01;Exportação;14150979803;1.0;1.0
2025/02;Exportação;13521558235;1.0;1.0
2025/03;Exportação;15009759231;1.0;1.0
2025/04;Exportação;14735561581;1.0;1.0
2025/05;Exportação;15259594571;1.0;1.0
2025/06;Exportação;15730064503;1.0;1.0
2025/07;Exportação;17417577814;1.0;1.0
2025/08;Exportação;15591098035;1.0;1.0
2025/09;Exportação;16781267852;1.0;1.0
2025/10;Exportação;17069795206;1.0;1.0
2025/11;Exportação;15928098778;1.0;1.0
2025/12;Exportação;17215950657;1.0;1.0
