periodo;vl_fob;kg_liquido;preco
2016/01/01;25850396;2377722;10,8719
2016/02/01;23189220;1638808;14,1501
2016/03/01;24858573;1357469;18,3124
2016/04/01;29554827;2625617;11,2563
2016/05/01;23389295;1578260;14,8197
2016/06/01;22857192;1664159;13,735
2016/07/01;21513111;1408904;15,2694
2016/08/01;28659258;1633333;17,5465
2016/09/01;20923944;1345640;15,5494
2016/10/01;24113017;1777795;13,5634
2016/11/01;24934469;1787279;13,9511
2016/12/01;24290319;1736466;13,9884
2017/01/01;26730456;1520932;17,5751
2017/02/01;18788376;1371252;13,7016
2017/03/01;27867085;2001486;13,9232
2017/04/01;21863961;1638574;13,3433
2017/05/01;27252579;1971926;13,8203
2017/06/01;25847387;1929649;13,3949
2017/07/01;28127537;2298079;12,2396
2017/08/01;39864737;2381826;16,737
2017/09/01;26161678;1900780;13,7637
2017/10/01;29667589;2208708;13,4321
2017/11/01;29566229;1895829;15,5954
2017/12/01;22457662;1687841;13,3056
2018/01/01;33398371;2348650;14,2202
2018/02/01;29636205;2062654;14,368
2018/03/01;30046315;2286372;13,1415
2018/04/01;30149204;2484639;12,1342
2018/05/01;28996332;2132660;13,5963
2018/06/01;30527062;2492790;12,2461
2018/07/01;31723106;2589253;12,2518
2018/08/01;33062497;2769027;11,9401
2018/09/01;27813468;2049723;13,5694
2018/10/01;33904241;2669195;12,702
2018/11/01;26528868;2033513;13,0458
2018/12/01;20349722;1537380;13,2366
2019/01/01;31667019;2343310;13,5138
2019/02/01;25315354;2002747;12,6403
2019/03/01;30393812;2290506;13,2695
2019/04/01;33616847;2716032;12,3772
2019/05/01;32836619;2910294;11,2829
2019/06/01;28003331;2322483;12,0575
2019/07/01;33007836;2845641;11,5994
2019/08/01;32404357;2607981;12,4251
2019/09/01;26161444;2022389;12,9359
2019/10/01;31122916;2692176;11,5605
2019/11/01;25307700;1625339;15,5707
2019/12/01;20168862;1511243;13,3459
2020/01/01;28578271;2494447;11,4568
2020/02/01;24119490;1887318;12,7798
2020/03/01;30247985;2588698;11,6846
2020/04/01;22899630;2018732;11,3436
2020/05/01;22996025;2013099;11,4232
2020/06/01;20376874;1715267;11,8797
2020/07/01;23976387;1535980;15,6098
2020/08/01;23278974;1786221;13,0325
2020/09/01;24791201;1854662;13,367
2020/10/01;27259043;2153702;12,6568
2020/11/01;34491019;2821011;12,2265
2020/12/01;33216995;2813256;11,8073
2021/01/01;37816152;3428953;11,0285
2021/02/01;34469924;3199758;10,7727
2021/03/01;44106973;3984834;11,0687
2021/04/01;40358444;3408225;11,8415
2021/05/01;43998212;4178861;10,5288
2021/06/01;40566291;3773763;10,7496
2021/07/01;41453751;3928592;10,5518
2021/08/01;39943589;3689317;10,8268
2021/09/01;44210974;4144465;10,6675
2021/10/01;41161284;3938421;10,4512
2021/11/01;45352226;3851580;11,775
2021/12/01;41596291;4287068;9,7027
2022/01/01;43077330;4043348;10,6539
2022/02/01;45329859;4225753;10,727
2022/03/01;47715202;4330756;11,0178
2022/04/01;52292072;4768726;10,9656
2022/05/01;54390743;4813246;11,3002
2022/06/01;48961935;3961292;12,3601
2022/07/01;51978105;4964660;10,4696
2022/08/01;60999732;5914937;10,3128
2022/09/01;64669071;6084467;10,6286
2022/10/01;58518424;5621924;10,409
2022/11/01;56246341;4713057;11,9342
2022/12/01;50959752;4053865;12,5707
2023/01/01;47881129;4068788;11,7679
2023/02/01;42776282;3316178;12,8993
2023/03/01;48603338;3629449;13,3914
2023/04/01;52469814;3776924;13,8922
2023/05/01;51687499;3844207;13,4456
2023/06/01;42431543;3243486;13,0821
2023/07/01;46955358;3243128;14,4784
2023/08/01;50174800;3261169;15,3855
2023/09/01;46094684;2818001;16,3572
2023/10/01;51302615;3051663;16,8114
2023/11/01;47138434;2712510;17,3782
2023/12/01;41740348;2549544;16,3717
2024/01/01;45499979;3333847;13,6479
2024/02/01;41903087;3296279;12,7122
2024/03/01;46951867;3176307;14,7819
2024/04/01;50804707;3768012;13,4832
2024/05/01;41564071;3216457;12,9223
2024/06/01;41044464;3542583;11,586
2024/07/01;46702522;3513221;13,2934
2024/08/01;51308321;3966845;12,9343
2024/09/01;53106229;4471580;11,8764
2024/10/01;60447102;4549831;13,2856
2024/11/01;44955457;3415436;13,1624
2024/12/01;44566751;3206182;13,9003
2025/01/01;45501730;3974132;11,4495
2025/02/01;47845544;3721586;12,8562
2025/03/01;47931023;3488875;13,7382
2025/04/01;56465616;4514862;12,5066
2025/05/01;53518631;4166536;12,8449
2025/06/01;56905169;4460784;12,7568
2025/07/01;53334565;4193017;12,7199
2025/08/01;55187594;4138377;13,3356
2025/09/01;61492575;5003711;12,2894
2025/10/01;59454990;4666884;12,7398
2025/11/01;47169647;3318463;14,2143
2025/12/01;54123915;3528349;15,3397
2026/01/01;47286366;3757887;12,5832
2026/02/01;46003618;3299794;13,9414
2026/03/01;51521573;3868434;13,3185
2026/04/01;56031944;4490892;12,4768
