Código SH4;Descrição SH4;Código ISIC Seção;Descrição ISIC Seção;2025 - Valor US$ FOB
0202;Carnes de animais da espécie bovina, congeladas;C;Indústria de Transformação;14445639590
1701;Açúcares de cana ou de beterraba e sacarose quimicamente pura, no estado sólido;C;Indústria de Transformação;14111209322
2710;"Óleos de petróleo ou de minerais betuminosos, exceto óleos brutos; preparações não especificadas nem compreendidas noutras posições, contendo, em peso, 70 % ou mais de óleos de petróleo ou de minerais betuminosos, os quais devem constituir o seu elemento";C;Indústria de Transformação;10333387327
4703;Pastas químicas de madeira, à soda ou ao sulfato, exceto pastas para dissolução;C;Indústria de Transformação;9169897494
0207;Carnes e miudezas comestíveis, frescas, refrigeradas ou congeladas, das aves da posição 0105;C;Indústria de Transformação;8816347122
2304;Tortas e outros resíduos sólidos da extração do óleo de soja;C;Indústria de Transformação;7902865209
7108;Ouro (incluído o ouro platinado), em formas brutas ou semimanufacturadas, ou em pó;C;Indústria de Transformação;6578636950
8703;Automóveis de passageiros e outros veículos automóveis principalmente concebidos para o transporte de pessoas (exceto os da posição 8702), incluídos os veículos de uso misto (station wagons) e os automóveis de corrida;C;Indústria de Transformação;5887636911
8802;"Outros veículos aéreos (por exemplo: helicópteros, aviões); veículos espaciais (incluídos os satélites) e seus veículos de lançamento e veículos suborbitais";C;Indústria de Transformação;4220559780
7202;Ferro-ligas;C;Indústria de Transformação;4048665141
7207;Produtos semimanufacturados de ferro ou aço não ligado;C;Indústria de Transformação;3871075539
2818;"Corindo artificial, quimicamente definido ou não; óxido de alumínio; hidróxido de alumínio";C;Indústria de Transformação;3689048650
2009;Sumos de frutas (incluídos os mostos de uvas) ou de produtos hortícolas, não fermentados, sem adição de álcool, com ou sem adição de açúcar ou de outros edulcorantes;C;Indústria de Transformação;3501512464
0203;Carnes de animais da espécie suína, frescas, refrigeradas ou congeladas;C;Indústria de Transformação;3371321520
8704;Veículos automóveis para transporte de mercadorias;C;Indústria de Transformação;3057458497
2401;"Tabaco não manufacturado; desperdícios de tabaco";C;Indústria de Transformação;3008357482
8429;Bulldozers, angledozers, niveladoras, raspo-transportadoras (scrapers), pás mecânicas, escavadoras, carregadoras e pás carregadoras, compactadores e rolos ou cilindros compressores, autopropulsores;C;Indústria de Transformação;2753601971
8708;Partes e acessórios dos veículos automóveis das posições 8701 a 8705;C;Indústria de Transformação;2483518934
0201;Carnes de animais da espécie bovina, frescas ou refrigeradas;C;Indústria de Transformação;2162822263
8701;Tractores (exceto os da posição 8709);C;Indústria de Transformação;1992002083
7201;Ferro fundido bruto e ferro spiegel (especular), em lingotes, linguados ou outras formas primárias;C;Indústria de Transformação;1672377324
1507;Óleo de soja e respectivas fracções, mesmo refinados, mas não quimicamente modificados;C;Indústria de Transformação;1447866497
4011;Pneumáticos novos, de borracha;C;Indústria de Transformação;1269955311
1602;Outras preparações e conservas de carne, miudezas ou sangue;C;Indústria de Transformação;1212486933
8409;Partes reconhecíveis como exclusiva ou principalmente destinadas aos motores das posições 8407 ou 8408;C;Indústria de Transformação;1209737358
2101;"Extractos, essências e concentrados de café, chá ou de mate e preparações à base destes produtos ou à base de café, chá ou de mate; chicória torrada e outros sucedâneos torrados do café e respectivos extractos, essências e concentrados";C;Indústria de Transformação;1163545117
6802;"Pedras de cantaria ou de construção (exceto de ardósia) trabalhadas e obras destas pedras, exceto as da posição 6801; cubos, pastilhas e artigos semelhantes, para mosaicos, de pedra natural (incluída a ardósia), mesmo com suporte; grânulos, fragmentos e";C;Indústria de Transformação;1060272460
